Standard,Version Number,Effective Date,Category Number,,Requirement Number,Requirement Description,Requirement Simple Description,Ratings,Rating Description
NIST SP 800-53,3,4/14/2017,1,Access Control,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the access control policy and associated access controls. ",Access Control Policy and Procedures,Open-O,System is not compliant with this requirement
NIST SP 800-53,3,4/14/2017,1,Access Control,2,"The organization manages information system accounts, including: Identifying account types (i.e., individual, group, system, application, guest/anonymous, and temporary); Establishing conditions for group membership; Identifying authorized users of the information system and specifying access privileges; Requiring appropriate approvals for requests to establish accounts; Establishing, activating, modifying, disabling, and removing accounts; Specifically authorizing and monitoring the use of guest/anonymous and temporary accounts; Notifying account managers when temporary accounts are no longer required and when information system users are terminated, transferred, or information system usage or need-to-know/need-to-share changes; Deactivating: (i) temporary accounts that are no longer required; and (ii) accounts of terminated or transferred users; Granting access to the system based on: (i) a valid access authorization; (ii) intended system usage; and (iii) other attributes as required by the organization or associated missions/business functions; and Reviewing accounts [ Assignment: organization-defined frequency ]. ",Account Management,Not a Finding-FN,System is compliant with this standard
NIST SP 800-53,3,4/14/2017,1,Access Control,3,The information system enforces approved authorizations for logical access to the system in accordance with applicable policy. ,Access Enforcement,Not Applicable-NA,Requirement is not applicable to this system
NIST SP 800-53,3,4/14/2017,1,Access Control,4,The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems in accordance with applicable policy. ,Information Flow Enforcement,,
NIST SP 800-53,3,4/14/2017,1,Access Control,5,"The organization: Separates duties of individuals as necessary, to prevent malevolent activity without collusion; Documents separation of duties; and Implements separation of duties through assigned information system access authorizations. ",Separation of Duties,,
NIST SP 800-53,3,4/14/2017,1,Access Control,6,"The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions. ",Least Privilege,,
NIST SP 800-53,3,4/14/2017,1,Access Control,7,The information system: Enforces a limit of [ Assignment: organization-defined number ] consecutive invalid login attempts by a user during a [ Assignment: organization-defined time period ]; and Automatically [ Selection: locks the account/node for an [ Assignment: organization-defined time period ] ; locks the account/node until released by an administrator; delays next login prompt according to [ Assignment: organization-defined delay algorithm ]] when the maximum number of unsuccessful attempts is exceeded. The control applies regardless of whether the login occurs via a local or network connection. ,Unsuccessful Login Attempts,,
NIST SP 800-53,3,4/14/2017,1,Access Control,8,"The information system: Displays an approved system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that: (i) users are accessing a U.S. Government information system; (ii) system usage may be monitored, recorded, and subject to audit; (iii) unauthorized use of the system is prohibited and subject to criminal and civil penalties; and (iv) use of the system indicates consent to monitoring and recording; Retains the notification message or banner on the screen until users take explicit actions to log on to or further access the information system; and For publicly accessible systems: (i) displays the system use information when appropriate, before granting further access; (ii) displays references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and (iii) includes in the notice given to public users of the information system, a description of the authorized uses of the system. ",System Use Notification,,
NIST SP 800-53,3,4/14/2017,1,Access Control,9,"The information system notifies the user, upon successful logon (access), of the date and time of the last logon (access). ",Previous Logon (Access) Notification,,
NIST SP 800-53,3,4/14/2017,1,Access Control,10,The information system limits the number of concurrent sessions for each system account to [ Assignment: organization-defined number ]. ,Concurrent Session Control,,
NIST SP 800-53,3,4/14/2017,1,Access Control,11,The information system: Prevents further access to the system by initiating a session lock after [ Assignment: organization-defined time period ] of inactivity or upon receiving a request from a user; and Retains the session lock until the user reestablishes access using established identification and authentication procedures. ,Session Lock,,
NIST SP 800-53,3,4/14/2017,1,Access Control,12,[ Withdrawn: Incorporated into SC-10 ]. ,Session Termination,,
NIST SP 800-53,3,4/14/2017,1,Access Control,13,[ Withdrawn: Incorporated into AC-2 and AU-6 ]. ,Supervision and Review Access Control,,
NIST SP 800-53,3,4/14/2017,1,Access Control,14,"The organization: Identifies specific user actions that can be performed on the information system without identification or authentication; and Documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification and authentication. ",Permitted Actions Without Identification Or Authentication,,
NIST SP 800-53,3,4/14/2017,1,Access Control,15,[ Withdrawn: Incorporated into MP-3 ]. ,Automated Marking,,
NIST SP 800-53,3,4/14/2017,1,Access Control,16,"The information system supports and maintains the binding of [ Assignment: organization-defined security attributes ] to information in storage, in process, and in transmission. ",Security Attributes,,
NIST SP 800-53,3,4/14/2017,1,Access Control,17,The organization: Documents allowed methods of remote access to the information system; Establishes usage restrictions and implementation guidance for each allowed remote access method; Monitors for unauthorized remote access to the information system; Authorizes remote access to the information system prior to connection; and Enforces requirements for remote connections to the information system. ,Remote Access,,
NIST SP 800-53,3,4/14/2017,1,Access Control,18,The organization: Establishes usage restrictions and implementation guidance for wireless access; Monitors for unauthorized wireless access to the information system; Authorizes wireless access to the information system prior to connection; and Enforces requirements for wireless connections to the information system. ,Wireless Access,,
NIST SP 800-53,3,4/14/2017,1,Access Control,19,The organization: Establishes usage restrictions and implementation guidance for organization-controlled mobile devices; Authorizes connection of mobile devices meeting organizational usage restrictions and implementation guidance to organizational information systems; Monitors for unauthorized connections of mobile devices to organizational information systems; Enforces requirements for the connection of mobile devices to organizational information systems; Disables information system functionality that provides the capability for automatic execution of code on mobile devices without user direction; Issues specially configured mobile devices to individuals traveling to locations that the organization deems to be of significant risk in accordance with organizational policies and procedures; and Applies [ Assignment: organization-defined inspection and preventative measures ] to mobile devices returning from locations that the organization deems to be of significant risk in accordance with organizational policies and procedures. ,Access Control for Mobile Devices,,
NIST SP 800-53,3,4/14/2017,1,Access Control,20,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to: Access the information system from the external information systems; and Process, store, and/or transmit organization-controlled information using the external information systems. ",Use of External Information Systems,,
NIST SP 800-53,3,4/14/2017,1,Access Control,21,The organization: Facilitates information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restrictions on the information for [ Assignment: organization-defined information sharing circumstances where user discretion is required ]; and Employs [ Assignment: list of organization-defined information sharing circumstances and automated mechanisms or manual processes required ] to assist users in making information sharing/collaboration decisions. ,User-based Collaboration and Information Sharing,,
NIST SP 800-53,3,4/14/2017,1,Access Control,22,"The organization: Designates individuals authorized to post information onto an organizational information system that is publicly accessible; Trains authorized individuals to ensure that publicly accessible information does not contain nonpublic information; Reviews the proposed content of publicly accessible information for nonpublic information prior to posting onto the organizational information system; Reviews the content on the publicly accessible organizational information system for nonpublic information [ Assignment: organization-defined frequency ]; and Removes nonpublic information from the publicly accessible organizational information system, if discovered. ",Publicly Accessible Content,,
NIST SP 800-53,3,4/14/2017,2,Awareness and Training,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented security awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the security awareness and training policy and associated security awareness and training controls. ",Security Awareness and Training Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,2,Awareness and Training,2,"The organization provides basic security awareness training to all information system users (including managers, senior executives, and contractors) as part of initial training for new users, when required by system changes, and [ Assignment: organization-defined frequency ] thereafter. ",Security Awareness,,
NIST SP 800-53,3,4/14/2017,2,Awareness and Training,3,The organization provides role-based security-related training: (i) before authorizing access to the system or performing assigned duties; (ii) when required by system changes; and (iii) [ Assignment: organization-defined frequency ] thereafter. ,Security Training,,
NIST SP 800-53,3,4/14/2017,2,Awareness and Training,4,The organization: Documents and monitors individual information system security training activities including basic security awareness training and specific information system security training; and Retains individual training records for [ Assignment: organization-defined time period ]. ,Security Training Records,,
NIST SP 800-53,3,4/14/2017,2,Awareness and Training,5,"The organization establishes and institutionalizes contact with selected groups and associations within the security community: - To facilitate ongoing security education and training for organizational personnel; - To stay up to date with the latest recommended security practices, techniques, and technologies; and - To share current security-related information including threats, vulnerabilities, and incidents. ",Contacts With Security Groups and Associations,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented audit and accountability policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the audit and accountability policy and associated audit and accountability controls. ",Audit and Accountability Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,2,"The organization: Determines, based on a risk assessment and mission/business needs, that the information system must be capable of auditing the following events: [ Assignment: organization-defined list of auditable events ]; Coordinates the security audit function with other organizational entities requiring audit-related information to enhance mutual support and to help guide the selection of auditable events; Provides a rationale for why the list of auditable events are deemed to be adequate to support after-the-fact investigations of security incidents; and Determines, based on current threat information and ongoing assessment of risk, that the following events are to be audited within the information system: [ Assignment: organization-defined subset of the auditable events defined in AU-2 a. to be audited along with the frequency of (or situation requiring) auditing for each identified event ]. ",Auditable Events,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,3,"The information system produces audit records that contain sufficient information to, at a minimum, establish what type of event occurred, when (date and time) the event occurred, where the event occurred, the source of the event, the outcome (success or failure) of the event, and the identity of any user/subject associated with the event. ",Content of Audit Records,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,4,The organization allocates audit record storage capacity and configures auditing to reduce the likelihood of such capacity being exceeded. ,Audit Storage Capacity,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,5,"The information system: Alerts designated organizational officials in the event of an audit processing failure; and Takes the following additional actions: [ Assignment: organization-defined actions to be taken (e.g., shut down information system, overwrite oldest audit records, stop generating audit records) ]. ",Response To Audit Processing Failures,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,6,"The organization: Reviews and analyzes information system audit records [ Assignment: organization-defined frequency ] for indications of inappropriate or unusual activity, and reports findings to designated organizational officials; and Adjusts the level of audit review, analysis, and reporting within the information system when there is a change in risk to organizational operations, organizational assets, individuals, other organizations, or the Nation based on law enforcement information, intelligence information, or other credible sources of information. ","Audit Review, Analysis, and Reporting",,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,7,The information system provides an audit reduction and report generation capability. ,Audit Reduction and Report Generation,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,8,The information system uses internal system clocks to generate time stamps for audit records. ,Time Stamps,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,9,"The information system protects audit information and audit tools from unauthorized access, modification, and deletion. ",Protection of Audit Information,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,10,The information system protects against an individual falsely denying having performed a particular action. ,Non-repudiation,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,11,The organization retains audit records for [ Assignment: organization-defined time period consistent with records retention policy ] to provide support for after-the-fact investigations of security incidents and to meet regulatory and organizational information retention requirements. ,Audit Record Retention,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,12,The information system: Provides audit record generation capability for the list of auditable events defined in AU-2 at [ Assignment: organization-defined information system components ]; Allows designated organizational personnel to select which auditable events are to be audited by specific components of the system; and Generates audit records for the list of audited events defined in AU-2 with the content as defined in AU-3. ,Audit Generation,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,13,The organization monitors open source information for evidence of unauthorized exfiltration or disclosure of organizational information [ Assignment: organization-defined frequency ]. ,Monitoring for Information Disclosure,,
NIST SP 800-53,3,4/14/2017,3,Audit and Accountability,14,The information system provides the capability to: Capture/record and log all content related to a user session; and Remotely view/hear all content related to an established user session in real time. ,Session Audit,,
NIST SP 800-53,3,4/14/2017,4,Security Assessment and Authorization,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: Formal, documented security assessment and authorization policies that address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the security assessment and authorization policies and associated security assessment and authorization controls. ",Security Assessment and Authorization Policies and Procedures,,
NIST SP 800-53,3,4/14/2017,4,Security Assessment and Authorization,2,"The organization: Develops a security assessment plan that describes the scope of the assessment including: Security controls and control enhancements under assessment; Assessment procedures to be used to determine security control effectiveness; and Assessment environment, assessment team, and assessment roles and responsibilities; Assesses the security controls in the information system [ Assignment: organization-defined frequency ] to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting the security requirements for the system; Produces a security assessment report that documents the results of the assessment; and Provides the results of the security control assessment, in writing, to the authorizing official or authorizing official designated representative. ",Security Assessments,,
NIST SP 800-53,3,4/14/2017,4,Security Assessment and Authorization,3,"The organization: Authorizes connections from the information system to other information systems outside of the authorization boundary through the use of Interconnection Security Agreements; Documents, for each connection, the interface characteristics, security requirements, and the nature of the information communicated; and Monitors the information system connections on an ongoing basis verifying enforcement of security requirements. ",Information System Connections,,
NIST SP 800-53,3,4/14/2017,4,Security Assessment and Authorization,4,[ Withdrawn: Incorporated into CA-2 ]. ,Security Certification,,
NIST SP 800-53,3,4/14/2017,4,Security Assessment and Authorization,5,"The organization: Develops a plan of action and milestones for the information system to document the organizations planned remedial actions to correct weaknesses or deficiencies noted during the assessment of the security controls and to reduce or eliminate known vulnerabilities in the system; and Updates existing plan of action and milestones [ Assignment: organization-defined frequency ] based on the findings from security controls assessments, security impact analyses, and continuous monitoring activities. ",Plan of Action and Milestones,,
NIST SP 800-53,3,4/14/2017,4,Security Assessment and Authorization,6,The organization: Assigns a senior-level executive or manager to the role of authorizing official for the information system; Ensures that the authorizing official authorizes the information system for processing before commencing operations; and Updates the security authorization [ Assignment: organization-defined frequency ]. ,Security Authorization,,
NIST SP 800-53,3,4/14/2017,4,Security Assessment and Authorization,7,The organization establishes a continuous monitoring strategy and implements a continuous monitoring program that includes: A configuration management process for the information system and its constituent components; A determination of the security impact of changes to the information system and environment of operation; Ongoing security control assessments in accordance with the organizational continuous monitoring strategy; and Reporting the security state of the information system to appropriate organizational officials [ Assignment: organization-defined frequency ]. ,Continuous Monitoring,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented configuration management policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the configuration management policy and associated configuration management controls. ",Configuration Management Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,2,"The organization develops, documents, and maintains under configuration control, a current baseline configuration of the information system. ",Baseline Configuration,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,3,"The organization: Determines the types of changes to the information system that are configuration controlled; Approves configuration-controlled changes to the system with explicit consideration for security impact analyses; Documents approved configuration-controlled changes to the system; Retains and reviews records of configuration-controlled changes to the system; Audits activities associated with configuration-controlled changes to the system; and Coordinates and provides oversight for configuration change control activities through [ Assignment: organization-defined configuration change control element (e.g., committee, board ] that convenes [ Selection: (one or more): [ Assignment: organization-defined frequency ] ; [ Assignment: organization-defined configuration change conditions ]]. ",Configuration Change Control,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,4,The organization analyzes changes to the information system to determine potential security impacts prior to change implementation. ,Security Impact Analysis,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,5,"The organization defines, documents, approves, and enforces physical and logical access restrictions associated with changes to the information system. ",Access Restrictions for Change,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,6,"The organization: Establishes and documents mandatory configuration settings for information technology products employed within the information system using [ Assignment: organization-defined security configuration checklists ] that reflect the most restrictive mode consistent with operational requirements; Implements the configuration settings; Identifies, documents, and approves exceptions from the mandatory configuration settings for individual components within the information system based on explicit operational requirements; and Monitors and controls changes to the configuration settings in accordance with organizational policies and procedures. ",Configuration Settings,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,7,"The organization configures the information system to provide only essential capabilities and specifically prohibits or restricts the use of the following functions, ports, protocols, and/or services: [ Assignment: organization-defined list of prohibited or restricted functions, ports, protocols, and/or services ]. ",Least Functionality,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,8,"The organization develops, documents, and maintains an inventory of information system components that: Accurately reflects the current information system; Is consistent with the authorization boundary of the information system; Is at the level of granularity deemed necessary for tracking and reporting; Includes [ Assignment: organization-defined information deemed necessary to achieve effective property accountability ]; and Is available for review and audit by designated organizational officials. ",Information System Component Inventory,,
NIST SP 800-53,3,4/14/2017,5,Configuration Management,9,"The organization develops, documents, and implements a configuration management plan for the information system that: Addresses roles, responsibilities, and configuration management processes and procedures; Defines the configuration items for the information system and when in the system development life cycle the configuration items are placed under configuration management; and Establishes the means for identifying configuration items throughout the system development life cycle and a process for managing the configuration of the configuration items. ",Configuration Management Plan,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,1,"The organization develops, disseminates, and reviews/updates [ Assignment: organization-defined frequency ]: A formal, documented contingency planning policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and Formal, documented procedures to facilitate the implementation of the contingency planning policy and associated contingency planning controls. ",Contingency Planning Policy and Procedures,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,2,"The organization: Develops a contingency plan for the information system that: Identifies essential missions and business functions and associated contingency requirements; Provides recovery objectives, restoration priorities, and metrics; Addresses contingency roles, responsibilities, assigned individuals with contact information; Addresses maintaining essential missions and business functions despite an information system disruption, compromise, or failure; Addresses eventual, full information system restoration without deterioration of the security measures originally planned and implemented; and Is reviewed and approved by designated officials within the organization; Distributes copies of the contingency plan to [ Assignment: organization-defined list of key contingency personnel (identified by name and/or by role) and organizational elements ]; Coordinates contingency planning activities with incident handling activities; Reviews the contingency plan for the information system [ Assignment: organization-defined frequency ]; Revises the contingency plan to address changes to the organization, information system, or environment of operation and problems encountered during contingency plan implementation, execution, or testing; and Communicates contingency plan changes to [ Assignment: organization-defined list of key contingency personnel (identified by name and/or by role) and organizational elements ]. ",Contingency Plan,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,3,The organization trains personnel in their contingency roles and responsibilities with respect to the information system and provides refresher training [ Assignment: organization-defined frequency ]. ,Contingency Training,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,4,The organization: Tests and/or exercises the contingency plan for the information system [ Assignment: organization-defined frequency ] using [ Assignment: organization-defined tests and/or exercises ] to determine the plans effectiveness and the organizations readiness to execute the plan; and Reviews the contingency plan test/exercise results and initiates corrective actions. ,Contingency Plan Testing and Exercises,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,5,[ Withdrawn: Incorporated into CP-2 ]. ,Contingency Plan Update,,
NIST SP 800-53,3,4/14/2017,6,Contingency Planning,6,The organization establishes an alternate storage site including necessary agreements to permit the storage and recovery of information system backup information. ,Alternate Storage Site,,
